               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078334,            0.030629,            0.021153,           0.0026331,             0.11212,           0.0063521,           0.0032294,            0.030461,            0.020011,            0.010522,              0.0766,              0.0026,              0.0026
                   1,            0.055712,            0.029022,             0.01909,             0.00437,             0.59394,             0.11858,            0.041793,            0.020751,            0.015759,            0.010199,            0.052195,           0.0051951,           0.0051951
                   2,            0.045723,            0.025748,            0.016866,             0.25723,             0.32003,             0.24033,            0.083241,            0.022877,            0.013345,            0.009204,            0.027683,           0.0076832,           0.0076832
                   3,            0.043701,            0.022993,            0.017937,             0.25095,             0.49697,             0.26698,            0.095724,            0.022769,             0.01109,           0.0088256,            0.009406,            0.009406,            0.009406
                   4,            0.044774,             0.02081,            0.017819,             0.21447,             0.28967,             0.25472,             0.11468,            0.019054,           0.0098224,           0.0079842,            0.009406,            0.009406,            0.009406
                   5,              0.0379,            0.022227,            0.016612,             0.27238,             0.39136,             0.33309,             0.15939,            0.023523,           0.0087958,           0.0072437,            0.009208,            0.009208,            0.009208
                   6,            0.042363,             0.02275,            0.017692,             0.33322,             0.53963,             0.36539,             0.22631,            0.016714,           0.0091176,            0.006649,             0.00901,             0.00901,             0.00901
                   7,            0.034356,            0.020407,            0.015642,             0.41257,             0.53939,             0.49633,             0.16375,            0.019398,           0.0079372,           0.0066072,            0.008812,            0.008812,            0.008812
                   8,            0.034147,             0.02212,            0.016783,             0.42546,             0.60206,             0.44668,             0.17536,            0.016841,           0.0080085,           0.0061293,            0.008614,            0.008614,            0.008614
                   9,            0.032833,            0.021225,             0.01451,             0.61514,             0.69394,             0.64044,             0.28591,            0.013935,           0.0074781,           0.0050783,            0.008416,            0.008416,            0.008416
                  10,            0.033967,            0.019626,            0.012411,             0.58182,              0.7303,             0.61726,             0.24735,            0.014202,           0.0075907,            0.004469,            0.008218,            0.008218,            0.008218
                  11,            0.036139,             0.02134,            0.015508,             0.65151,             0.60966,             0.65698,             0.29554,            0.013109,           0.0075991,            0.004753,             0.00802,             0.00802,             0.00802
                  12,            0.034619,            0.020111,            0.011976,             0.54626,             0.55152,             0.53436,             0.25027,            0.011731,           0.0079672,           0.0055731,            0.007822,            0.007822,            0.007822
                  13,            0.028765,            0.018431,            0.010404,             0.58362,             0.66364,             0.63005,             0.25215,             0.01385,           0.0077796,           0.0047675,            0.007624,            0.007624,            0.007624
                  14,            0.030861,            0.019341,            0.011795,             0.43885,             0.63429,             0.51458,             0.19274,            0.016005,            0.007727,           0.0053002,            0.007426,            0.007426,            0.007426
                  15,            0.032007,            0.020373,            0.013316,              0.4145,             0.61818,             0.45023,             0.17578,             0.01568,           0.0074684,           0.0071303,            0.007228,            0.007228,            0.007228
                  16,             0.03234,            0.018493,            0.010019,             0.59855,             0.65293,             0.58556,             0.31766,            0.013045,           0.0073857,           0.0054248,             0.00703,             0.00703,             0.00703
                  17,            0.031426,            0.019803,            0.011868,             0.74428,             0.66798,             0.76858,             0.38859,            0.012581,           0.0072752,           0.0035106,            0.006832,            0.006832,            0.006832
                  18,            0.031531,            0.022178,            0.011219,             0.58442,             0.58485,             0.70585,             0.31288,            0.013013,           0.0073397,           0.0031527,            0.006634,            0.006634,            0.006634
                  19,            0.030051,            0.020162,            0.012648,             0.61589,             0.61266,             0.60845,             0.29577,            0.014073,           0.0073276,           0.0031385,            0.006436,            0.006436,            0.006436
                  20,                0.03,            0.019299,           0.0097001,               0.642,             0.59304,             0.66119,             0.27905,            0.014878,           0.0074409,           0.0030535,            0.006238,            0.006238,            0.006238
                  21,            0.028143,            0.019983,           0.0095882,             0.78113,             0.58485,             0.78755,               0.405,            0.012286,           0.0072465,           0.0024769,             0.00604,             0.00604,             0.00604
                  22,            0.028385,             0.01854,           0.0095383,              0.6923,             0.71818,             0.75442,             0.38447,            0.012133,           0.0070671,           0.0023405,            0.005842,            0.005842,            0.005842
                  23,            0.027235,            0.018389,           0.0092343,             0.74918,             0.66757,             0.76578,             0.33347,            0.014524,           0.0066536,           0.0022551,            0.005644,            0.005644,            0.005644
                  24,            0.030492,            0.019992,             0.01114,             0.72274,             0.63939,             0.75498,             0.40405,            0.011901,           0.0069394,             0.00242,            0.005446,            0.005446,            0.005446
                  25,            0.029402,            0.018416,            0.010375,             0.86387,             0.66358,             0.79012,             0.40381,            0.013046,           0.0069202,           0.0022144,            0.005248,            0.005248,            0.005248
                  26,            0.026557,            0.019056,           0.0095998,             0.85783,             0.78696,             0.84872,             0.39872,            0.013119,           0.0068707,            0.002177,             0.00505,             0.00505,             0.00505
                  27,            0.025003,            0.018065,           0.0093295,               0.856,              0.7065,             0.82279,             0.45604,            0.010397,           0.0069382,           0.0015302,            0.004852,            0.004852,            0.004852
                  28,            0.027244,            0.018411,           0.0079484,             0.68825,             0.76364,             0.77779,             0.38104,             0.01105,            0.006949,           0.0018524,            0.004654,            0.004654,            0.004654
                  29,            0.026575,             0.01918,            0.008722,             0.78921,             0.77576,             0.84716,             0.48529,             0.01022,            0.006902,            0.001814,            0.004456,            0.004456,            0.004456
                  30,            0.024047,             0.01881,           0.0092866,             0.81013,             0.83451,             0.83099,             0.45742,            0.010822,           0.0067051,           0.0019657,            0.004258,            0.004258,            0.004258
                  31,            0.023623,            0.017943,           0.0060805,             0.85116,             0.77785,             0.84191,             0.42995,            0.011384,           0.0064857,           0.0021205,             0.00406,             0.00406,             0.00406
                  32,            0.023193,            0.017524,           0.0093602,             0.73328,              0.8303,             0.82287,             0.45328,            0.010848,           0.0064474,           0.0021497,            0.003862,            0.003862,            0.003862
                  33,            0.021887,            0.017604,           0.0066551,             0.71053,              0.8303,             0.80677,             0.44087,            0.010627,           0.0066088,           0.0025666,            0.003664,            0.003664,            0.003664
                  34,            0.022359,            0.018109,           0.0074567,              0.6627,             0.66304,               0.784,             0.44484,            0.010621,           0.0067431,           0.0027914,            0.003466,            0.003466,            0.003466
                  35,            0.026141,            0.017684,           0.0062249,             0.68605,             0.69473,             0.77115,             0.44814,            0.010716,            0.006733,           0.0028597,            0.003268,            0.003268,            0.003268
                  36,            0.025955,            0.018801,           0.0070006,             0.60461,             0.70989,             0.76747,             0.47404,            0.010096,           0.0065691,           0.0032792,             0.00307,             0.00307,             0.00307
                  37,            0.021647,            0.016424,           0.0069421,             0.59768,             0.73099,             0.76638,              0.4554,            0.010571,           0.0064548,            0.003502,            0.002872,            0.002872,            0.002872
                  38,            0.019951,            0.017464,           0.0075988,             0.63962,             0.64531,             0.73883,             0.46915,            0.010428,           0.0063661,           0.0033131,            0.002674,            0.002674,            0.002674
                  39,            0.022075,            0.019147,            0.006464,             0.59722,              0.7073,             0.71474,             0.46205,            0.010061,           0.0064275,           0.0034747,            0.002476,            0.002476,            0.002476
                  40,            0.022453,             0.01846,           0.0076288,             0.57124,             0.73939,             0.72075,             0.47588,             0.00999,           0.0062122,           0.0035649,            0.002278,            0.002278,            0.002278
                  41,            0.023483,            0.018533,           0.0063642,             0.51223,             0.76066,             0.70046,             0.46153,            0.010124,           0.0061547,           0.0045266,             0.00208,             0.00208,             0.00208
                  42,             0.02063,            0.015565,           0.0061445,             0.54365,             0.81818,             0.71487,             0.47487,             0.01006,           0.0061531,           0.0052568,            0.001882,            0.001882,            0.001882
                  43,            0.021994,            0.018582,           0.0069241,             0.63542,             0.77273,             0.76872,             0.46661,           0.0099969,           0.0061608,           0.0055044,            0.001684,            0.001684,            0.001684
                  44,            0.019814,            0.017273,            0.006668,             0.80567,             0.72704,             0.79077,             0.53328,            0.010017,           0.0060519,           0.0047773,            0.001486,            0.001486,            0.001486
                  45,            0.022876,            0.017064,           0.0056711,             0.73097,             0.72727,             0.79662,             0.51964,            0.010008,           0.0060638,           0.0039967,            0.001288,            0.001288,            0.001288
                  46,            0.024793,            0.017515,           0.0054747,             0.74069,             0.71989,             0.79597,             0.52607,           0.0097309,           0.0061144,           0.0037806,             0.00109,             0.00109,             0.00109
                  47,            0.022058,            0.017525,           0.0068335,             0.65095,             0.80349,             0.77526,              0.5017,           0.0097902,           0.0062189,           0.0032385,            0.000892,            0.000892,            0.000892
                  48,            0.020325,            0.018354,           0.0050487,             0.65697,             0.75434,             0.78744,             0.50583,           0.0097118,           0.0061525,            0.003017,            0.000694,            0.000694,            0.000694
                  49,            0.020943,            0.018115,           0.0050279,             0.68788,             0.81818,             0.79605,             0.52361,           0.0096882,           0.0060806,           0.0031349,            0.000496,            0.000496,            0.000496
